Country_Name,Country Code,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
Aruba,ABW,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,,,,,
Andorra,AND,1.165787064,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,
Afghanistan,AFG,,,,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122899,1.312530908
Angola,AGO,3.012076166,4.220965156,13.82179251,,,,,,,,,,,,
Albania,ALB,6.666620515,7.940331421,4.231371012,5.77349057,5.709556581,5.720819953,5.431012734,5.9,7.53,3.35,3.71,2.55,1.42,1.11,2.17
Arab World,ARB,4.966278488,2.355654973,1.786087949,5.210410827,9.134017478,6.224387399,7.227962179,5.738503631,6.337466408,1.485238366,4.699099915,3.468890726,6.610185954,2.830058674,2.276247756
United Arab Emirates,ARE,10.8527042,1.399085028,2.433456814,8.800540817,9.566436643,4.855141195,9.837319773,3.184390174,3.191836271,-5.242921906,1.635449055,5.207798911,6.893595623,4.321360255,4.570289721
Argentina,ARG,-0.788998929,-4.408839696,-10.89448481,8.837040776,9.029573321,9.198488983,8.402868566,7.965573248,3.074945503,0.050024456,9.451578331,8.386451456,0.801760179,2.885351883,0.453605479
Armenia,ARM,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.3,3.5
American Samoa,ASM,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,5.041769297,-3.194241893,2.92425143,5.913631425,5.286420149,6.083228432,13.37640019,9.49894448,0.071111021,-12.03601506,-7.142991335,-1.793435604,4.019541839,-0.34626098,4.821982627
Australia,AUS,3.868657682,1.929386797,3.856686721,3.070798721,4.149374345,3.206642301,2.982870285,3.757657864,3.706699506,1.819678261,2.018182144,2.379561336,3.632720303,2.440049062,2.499851222
Austria,AUT,3.368407715,1.35051608,1.655854943,0.756156576,2.705743088,2.140682596,3.350831358,3.621510423,1.547263839,-3.799075048,1.928673056,2.807999932,0.757314346,0.321250822,0.353471066
Azerbaijan,AZE,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2
Burundi,BDI,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218,4.660918184
Belgium,BEL,3.633817208,0.811463997,1.780452149,0.774536137,3.634800822,2.094221518,2.499464447,3.397471914,0.747103204,-2.284879004,2.694825538,1.796837889,0.151259666,0.016554868,1.348360956
Benin,BEN,5.859992101,5.330410857,4.644470026,3.444044849,4.429629024,1.711577628,3.947013747,5.986515522,4.893393918,2.319226924,2.116850127,2.962750351,4.643023076,6.878995974,6.541486651
Burkina Faso,BFA,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754,3.649305084,3.996044719
Bangladesh,BGD,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013596067,6.061093054
Bulgaria,BGR,5.010949366,4.248025368,6.018122132,5.077522269,6.555566578,7.236192997,6.753133864,7.675350685,5.647005429,-4.219727062,0.054557983,1.579999991,0.24000007,1.279999926,1.550228749
Bahrain,BHR,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,2.100184109,3.588704571,5.412938243,4.480935152
Bahamas. The,BHS,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,1.538778853,0.612902596,2.217312979,0.022030197,1.022786105
Bosnia and Herzegovina,BIH,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230375,5.378476622,5.728757014,5.481507958,-2.86988112,0.767254045,0.908247974,-0.933187606,2.394191896,1.081875932
Belarus,BLR,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.740781216,5.543711461,1.731391223,1.073600801,1.587801619
Belize,BLZ,13.03876213,5.015662999,5.118559443,9.329248703,4.648087296,2.578008809,4.58160037,1.105586127,3.229101316,0.713250728,3.323871124,2.103950804,3.824748783,1.525675273,3.583314824
Bermuda,BMU,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,
Bolivia,BOL,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564383902,6.148497195,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752
Brazil,BRA,4.112564911,1.657817967,3.05316092,1.140319046,5.760880726,3.202051527,3.960502029,6.072283693,5.093767007,-0.12614741,7.528797377,3.910255352,1.915458618,3.015140514,0.103371356
Barbados,BRB,4.507337526,-2.407221665,0.822199383,2.140672783,1.397205589,4.035433071,5.676442763,1.700984781,0.440140845,-4.031551271,0.273972603,0.72859745,0.27124774,0,0.180342651
Brunei Darussalam,BRN,2.849421759,2.744040816,3.872097249,2.903955133,0.504318384,0.387506909,4.397720159,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662,-1.751960547,-2.34
Bhutan,BTN,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.458817312
Botswana,BWA,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.280147493,6.242117247,-7.652310203,8.563631748,6.048316367,4.831542795,9.322201516,4.421040759
